feature,mutual_information_nats,support,permutation_p,bh_q
CT__INSERT_NODE_ANONYMOUSEXECUTABLE_CLASS,0.0014077499680281071,17,0.04595404595404595,0.14690227804981904
CT__DELETE_NODE_TYPEREFERENCE_METHOD,0.001347495387259182,11,0.04195804195804196,0.14106583072100312
CT__DELETE_NODE_INVOCATION_IF,0.00132727123000825,22,0.05194805194805195,0.16338500209467954
CT__DELETE_NODE_THROW_BLOCK,0.0011208124305144666,21,0.07492507492507493,0.22136953955135774
CT__DELETE_NODE_VARIABLEREAD_CONSTRUCTORCALL,0.001113451068743547,13,0.060939060939060936,0.18567370129870128
CT__INSERT_NODE_VARIABLEREAD_CONSTRUCTORCALL,0.001113451068743547,13,0.060939060939060936,0.18567370129870128
CT__MOVE_TREE_UNARYOPERATOR_IF,0.001113451068743547,13,0.0919080919080919,0.2597402597402597
CT__DELETE_NODE_BINARYOPERATOR_LOCALVARIABLE,0.0010775943844294825,10,0.11488511488511488,0.3155295408816535
CT__MOVE_TREE_BINARYOPERATOR_IF,0.0010388337299025927,63,0.04495504495504495,0.14690227804981904
CT__MOVE_TREE_WRAPPER_FIELD,0.0010341859876139003,18,0.007992007992007992,0.03246753246753247
CT__MOVE_TREE_UNARYOPERATOR_BINARYOPERATOR,0.0009522920236777008,15,0.07192807192807193,0.2157842157842158
CT__DELETE_NODE_VARIABLEREAD_RETURN,0.0009252810795936442,20,0.12887112887112886,0.33959283959283953
CT__INSERT_NODE_THROW_BLOCK,0.0009252810795936442,20,0.10989010989010989,0.3061224489795918
CT__INSERT_NODE_VARIABLEREAD_RETURN,0.0009252810795936442,20,0.12887112887112886,0.33959283959283953
CT__MOVE_TREE_VARIABLEREAD_BINARYOPERATOR,0.0008995251125026582,73,0.02197802197802198,0.08403361344537817
CT__INSERT_NODE_INVOCATION_ASSIGNMENT,0.0008631589908246994,27,0.12887112887112886,0.33959283959283953
CT__MOVE_TREE_CONSTRUCTORCALL_INVOCATION,0.0007659792474732467,24,0.08591408591408592,0.2463712757830405
CT__DELETE_NODE_VARIABLEREAD_ASSIGNMENT,0.000744369295197559,14,0.18581418581418582,0.4473304473304473
CT__INSERT_NODE_INVOCATION_IF,0.000744369295197559,14,0.18281718281718282,0.4473304473304473
CT__INSERT_NODE_VARIABLEREAD_ASSIGNMENT,0.000744369295197559,14,0.18581418581418582,0.4473304473304473
CT__INSERT_NODE_INVOCATION_BINARYOPERATOR,0.0006546254173776002,28,0.19880119880119881,0.4615027829313544
CT__INSERT_NODE_FOREACH_BLOCK,0.0005725843156121242,18,0.24175824175824176,0.5324675324675325
CT__DELETE_NODE_WRAPPER_METHOD,0.0005527103176104272,13,0.24575424575424576,0.5324675324675325
CT__INSERT_NODE_WRAPPER_METHOD,0.0005527103176104272,13,0.24575424575424576,0.5324675324675325
CT__INSERT_NODE_VIRTUALELEMENT_LOCALVARIABLE,0.0005139791903527625,20,0.24575424575424576,0.5324675324675325
CT__MOVE_TREE_CONSTRUCTORCALL_LOCALVARIABLE,0.00046650394933294564,22,0.2727272727272727,0.5539772727272727
CT__INSERT_NODE_BINARYOPERATOR_INVOCATION,0.00045108176008633316,31,0.2647352647352647,0.5491848576954959
CT__MOVE_TREE_INVOCATION_RETURN,0.00043997538169555234,53,0.24375624375624375,0.5324675324675325
CT__DELETE_NODE_VIRTUALELEMENT_METHOD,0.00042723092237786225,24,0.3166833166833167,0.6301351709514974
CT__MOVE_TREE_INVOCATION_IF,0.00041689530581754536,44,0.25674325674325676,0.5404273146208629
CT__DELETE_NODE_FOREACH_BLOCK,0.0003741563381021752,19,0.36063936063936064,0.6894576012223071
CT__DELETE_NODE_VIRTUALELEMENT_LOCALVARIABLE,0.0003741563381021752,19,0.34765234765234765,0.6731387424456732
CT__MOVE_TREE_ANNOTATION_METHOD,0.0003741563381021752,19,0.13386613386613386,0.34347231715652765
CT__MOVE_TREE_TYPEREFERENCE_FIELD,0.00034162759818521377,30,0.1928071928071928,0.45767485526521673
CT__DELETE_NODE_LITERAL_BINARYOPERATOR,0.00032477918804852887,14,0.37362637362637363,0.7073509015256588
CT__MOVE_TREE_INVOCATION_UNARYOPERATOR,0.00032477918804852887,14,0.44255744255744256,0.8055458055458056
CT__MOVE_TREE_TYPEREFERENCE_PARAMETER,0.00032477918804852887,14,0.45354645354645357,0.8055458055458056
CT__UPDATE_NODE_INVOCATION_INVOCATION,0.00032093208297306886,161,0.13386613386613386,0.34347231715652765
CT__MOVE_TREE_BLOCK_IF,0.0002850704161420428,36,0.17782217782217782,0.44455544455544455
